"Year","LeagueApps","LeagueGoals","CupApps","CupGoals","EuropeApps","EuropeGoals","OtherApps","OtherGoals","TotalApps","TotalGoals"
"2003–04",15,5,0,0,0,0,0,0,15,5
"2004–05",24,7,1,0,1,0,0,0,26,7
"2005–06",17,6,2,1,6,1,0,0,25,8
"2006–07",26,14,2,2,6,1,3,0,36,17
"2007–08",28,10,3,0,9,6,0,0,40,16
"2008–09",31,23,8,6,12,9,0,0,51,38
"2009–10",35,34,3,1,11,8,4,5,53,47
"2010–11",33,31,7,7,13,12,2,3,55,53
"2011–12",37,50,7,3,11,14,5,6,60,73
"2012–13",32,46,5,4,11,8,2,2,50,60
"2013–14",31,28,6,5,7,8,2,0,46,41
"2014–15",38,43,6,5,13,10,0,0,57,58
"2015–16",33,26,5,5,7,6,4,4,49,41
"2016–17",34,37,7,5,9,11,2,1,52,54
"2017–18",15,14,0,0,6,3,2,1,23,18
